Title,Authors,Year,Venue,ArXiv_or_DOI,Category_Tags,Contribution_Summary,Why_It_Belongs_in_Survey,Scope_Label,Evidence_Sources,Verification_URL
medR: Reward Engineering for Clinical Offline Reinforcement Learning via Tri-Drive Potential Functions,"Qianyi Xu, Gousia Habib, Feng Wu, Yanrui Du, Zhihui Chen, Swapnil Mishra, Dilruk Perera, Mengling Feng",2026,ArXiv,arXiv:2602.03305v2,Policy|Reward|OfflineRL|Architecture,This work addresses Reinforcement Learning (RL) offers a powerful framework for optimizing dynamic treatment regimes (DTRs). It proposes Reinforcement Learning (RL) offers a powerful framework for optimizing dynamic treatment regimes (DTRs). The evaluation reports that We further introduce quantitative metrics to rigorously evaluate and select the optimal reward structure prior to deployment. The contribution targets RL-agent performance rather than only post-training an LLM.,"The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03305v2
MedSAM-Agent: Empowering Interactive Medical Image Segmentation with Multi-turn Agentic Reinforcement Learning,"Shengyuan Liu, Liuxin Bao, Qi Yang, Wanting Geng, Boyun Zheng, Chenxin Li, Wenting Chen, Houwen Peng, Yixuan Yuan",2026,ArXiv,arXiv:2602.03320v1,Policy|Reward|CreditAssignment|DatasetGeneration|Reasoning|Verifier|LanguageConditioning|Architecture,"This work addresses Medical image segmentation is evolving from task-specific models toward generalizable frameworks. It proposes Medical image segmentation is evolving from task-specific models toward generalizable frameworks. The evaluation reports that Extensive experiments across 6 medical modalities and 21 datasets demonstrate that MedSAM-Agent achieves state-of-the-art performance, effectively unifying autonomous medical reasoning with robust, iterative optimization. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03320v1
MobileManiBench: Simplifying Model Verification for Mobile Manipulation,"Wenbo Wang, Fangyun Wei, QiXiu Li, Xi Chen, Yaobo Liang, Chang Xu, Jiaolong Yang, Baining Guo",2026,ArXiv,arXiv:2602.05233v1,Policy|DatasetGeneration|Reasoning|Simulation|LanguageConditioning|Architecture,"This work addresses Vision-language-action models have advanced robotic manipulation but remain constrained by reliance on the large, teleoperation-collected datasets dominated by the static, tabletop scenes. It proposes We propose a simulation-first framework to verify VLA architectures before real-world deployment and introduce MobileManiBench, a large-scale benchmark for mobile-based robotic manipulation. The evaluation reports that We propose a simulation-first framework to verify VLA architectures before real-world deployment and introduce MobileManiBench, a large-scale benchmark for mobile-based robotic manipulation. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05233v1
No More Stale Feedback: Co-Evolving Critics for Open-World Agent Learning,"Zhicong Li, Lingjie Jiang, Yulan Hu, Xingchen Zeng, Yixia Li, Xiangwen Zhang, Guanhua Chen, Zheng Pan, Xin Li, Yong Liu",2026,ArXiv,arXiv:2601.06794v1,Policy|Planning|Reward|ToolUse|Verifier|Architecture,"This work addresses Critique-guided reinforcement learning (RL) has emerged as a powerful paradigm for training LLM agents by augmenting sparse outcome rewards with natural-language feedback. It proposes However, current methods often rely on static or offline critic models, which fail to adapt as the policy evolves. The evaluation reports that We address the challenge of learning plateaus via a saturation-aware gain shaping objective, which rewards the critic for inducing incremental improvements in high-performing trajectories. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.06794v1
OpAgent: Operator Agent for Web Navigation,"Yuyu Guo, Wenjie Yang, Siyuan Yang, Ziyang Liu, Cheng Chen, Yuan Wei, Yun Hu, Yang Huang, Guoliang Hao, Dongsheng Yuan, Jianming Wang, Xin Chen, Hang Yu, Lei Lei, Peng Di",2026,ArXiv,arXiv:2602.13559v1,Policy|Planning|Reward|CreditAssignment|DatasetGeneration|OfflineRL|LanguageConditioning|Architecture|AgentTraining,"This work addresses To fulfill user instructions, autonomous web agents must contend with the inherent complexity and volatile nature of real-world websites. It proposes However, these methods suffer from severe distributional shifts, as offline trajectories fail to capture the stochastic state transitions and real-time feedback of unconstrained wide web environments. The evaluation reports that Notably, our RL-enhanced model achieves a 38.1\% success rate (pass@5) on WebArena, outperforming all existing monolithic baselines. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.13559v1
P1-VL: Bridging Visual Perception and Scientific Reasoning in Physics Olympiads,"Yun Luo, Futing Wang, Qianjia Cheng, Fangchen Yu, Haodi Lei, Jianhao Yan, Chenxi Li, Jiacheng Chen, Yufeng Zhao, Haiyuan Wan, Yuchen Zhang, Shenghe Zheng, Junchi Yao, Qingyang Zhang, Haonan He, Wenxuan Zeng, Li Sheng, Chengxing Xie, Yuxin Zuo, Yizhuo Li, Yulun Wu, Rui Huang, Dongzhan Zhou, Kai Chen, Yu Qiao, Lei Bai, Yu Cheng, Ning Ding, Bowen Zhou, Peng Ye, Ganqu Cui",2026,ArXiv,arXiv:2602.09443v1,Policy|Reasoning|Verifier|Curriculum|Architecture|HybridRL,"This work addresses The transition from symbolic manipulation to science-grade reasoning represents a pivotal frontier for Large Language Models (LLMs), with physics serving as the critical test anchor for binding abstract logic to physical reality. It proposes To bridge this visual-logical gap, we introduce P1-VL, a family of open-source vision-language models engineered for advanced scientific reasoning. The evaluation reports that Evaluated on HiPhO, a rigorous benchmark of 13 exams from 2024-2025, our flagship P1-VL-235B-A22B becomes the first open-source Vision-Language Model (VLM) to secure 12 gold medals and achieves the state-of-the-art performance in the open-source models. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09443v1
Paying Less Generalization Tax: A Cross-Domain Generalization Study of RL Training for LLM Agents,"Zhihan Liu, Lin Guan, Yixin Nie, Kai Zhang, Zhuoqun Hao, Lin Chen, Asli Celikyilmaz, Zhaoran Wang, Na Zhang",2026,ArXiv,arXiv:2601.18217v1,Policy|Planning|Architecture|HybridRL,"This work addresses Generalist LLM agents are often post-trained on a narrow set of environments but deployed across far broader, unseen domains. It proposes We propose a randomization technique, which is low-overhead and broadly applicable: add small amounts of distractive goal-irrelevant features to the state to make it richer without altering the task. The evaluation reports that Motivated by these findings, we further show that increasing state information richness alone can already effectively improve cross-domain robustness. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.18217v1
PEARL: Plan Exploration and Adaptive Reinforcement Learning for Multihop Tool Use,"Qihao Wang, Mingzhe Lu, Jiayue Wu, Yue Hu, Yanbing Liu",2026,ArXiv,arXiv:2601.20439v1,Policy|Planning|Reward|CreditAssignment|Exploration|ToolUse|Architecture,"This work addresses Large Language Models show great potential with external tools, but face significant challenges in complex, multi-turn tool invocation. It proposes To tackle these issues, we present PEARL, a novel framework to enhance LLM planning and execution for sophisticated tool use. The evaluation reports that Experiments on the ToolHop and T-Eval benchmarks show PEARL significantly outperforms existing methods, achieving a new state-of-the-art success rate of \textbf{56.5\%} on ToolHop while maintaining a low invocation error rate. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.20439v1
"Prioritize the Process, Not Just the Outcome: Rewarding Latent Thought Trajectories Improves Reasoning in Looped Language Models","Jonathan Williams, Esin Tureci",2026,ArXiv,arXiv:2602.10520v2,Policy|Reward|CreditAssignment|Reasoning|Verifier|Architecture,"This work addresses Looped Language Models (LoopLMs) perform multi-step latent reasoning prior to token generation and outperform conventional LLMs on reasoning benchmarks at smaller parameter budgets. It proposes To resolve this, we introduce RLTT (Reward Latent Thought Trajectories), a reinforcement learning framework which distributes reward across the full latent reasoning trajectory. The evaluation reports that Looped Language Models (LoopLMs) perform multi-step latent reasoning prior to token generation and outperform conventional LLMs on reasoning benchmarks at smaller parameter budgets. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10520v2
Process-Supervised Multi-Agent Reinforcement Learning for Reliable Clinical Reasoning,"Chaeeun Lee, T. Michael Yates, Pasquale Minervini, T. Ian Simpson",2026,ArXiv,arXiv:2602.14160v1,Policy|Reward|CreditAssignment|DatasetGeneration|Reasoning|Verifier|MultiAgent|Architecture|HybridRL,"This work addresses Clinical decision-making requires nuanced reasoning over heterogeneous evidence and traceable justifications. It proposes We introduce an agent-as-tool reinforcement learning framework for this task with two objectives: (i) process-level supervision to ensure reasoning follows valid clinical pathways, and (ii) efficient coordination via a hierarchical multi-agent system. The evaluation reports that Our evaluation on the ClinGen dataset shows that with outcome-only rewards, MAS with a GRPO-trained Qwen3-4B supervisor agent substantially improves final outcome accuracy from 0.195 with a base model supervisor to 0.732, but results in poor process alignment (0.392 F1). It includes RL-agent improvements while also touching LLM post-training or alignment components.","The paper includes LLM post-training aspects, but it also introduces mechanisms that improve behavior of agents operating in RL-style interactive loops.",Mixed_but_relevant,arxiv|targeted_search,https://arxiv.org/abs/2602.14160v1
QUATRO: Query-Adaptive Trust Region Policy Optimization for LLM Fine-tuning,"Doyeon Lee, Eunyi Lyou, Hyunsoo Cho, Sookyung Kim, Joonseok Lee, Jaemoo Choi",2026,ArXiv,arXiv:2602.04620v2,Policy|Exploration|Reasoning|Architecture,"This work addresses GRPO-style reinforcement learning (RL)-based LLM fine-tuning algorithms have recently gained popularity. It proposes GRPO-style reinforcement learning (RL)-based LLM fine-tuning algorithms have recently gained popularity. The evaluation reports that Empirically verified on diverse mathematical reasoning benchmarks, QUATRO shows stable training under increased policy staleness and aggressive learning rates, maintaining well-controlled entropy throughout training. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04620v2
RC-GRPO: Reward-Conditioned Group Relative Policy Optimization for Multi-Turn Tool Calling Agents,"Haitian Zhong, Jixiu Zhai, Lei Song, Jiang Bian, Qiang Liu, Tieniu Tan",2026,ArXiv,arXiv:2602.03025v1,Policy|Reward|CreditAssignment|Exploration|ToolUse|LanguageConditioning|Architecture,"This work addresses Multi-turn tool calling is challenging for Large Language Models (LLMs) because rewards are sparse and exploration is expensive. It proposes To address this problem, we propose RC-GRPO (Reward-Conditioned Group Relative Policy Optimization), which treats exploration as a controllable steering problem via discrete reward tokens. The evaluation reports that Then during RL, we sample diverse reward tokens within each GRPO group and condition rollouts on the sampled token to improve within-group diversity, improving advantage gains. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03025v1
Reasoning and Tool-use Compete in Agentic RL:From Quantifying Interference to Disentangled Tuning,"Yu Li, Mingyang Yi, Xiuyu Li, Ju Fan, Fuxin Jiang, Binbin Chen, Peng Li, Jie Song, Tieying Zhang",2026,ArXiv,arXiv:2602.00994v1,Policy|ToolUse|Reasoning|MultiAgent|Architecture,"This work addresses Agentic Reinforcement Learning (ARL) focuses on training large language models (LLMs) to interleave reasoning with external tool execution to solve complex tasks. It proposes Most existing ARL methods train a single shared model parameters to support both reasoning and tool use behaviors, implicitly assuming that joint training leads to improved overall agent performance. The evaluation reports that Most existing ARL methods train a single shared model parameters to support both reasoning and tool use behaviors, implicitly assuming that joint training leads to improved overall agent performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.00994v1
REDSearcher: A Scalable and Cost-Efficient Framework for Long-Horizon Search Agents,"Zheng Chu, Xiao Wang, Jack Hong, Huiming Fan, Yuqi Huang, Yue Yang, Guohai Xu, Chenxiao Zhao, Cheng Xiang, Shengchao Hu, Dongdong Kuang, Ming Liu, Bing Qin, Xing Yu",2026,ArXiv,arXiv:2602.14234v1,Policy|Planning|Reward|ToolUse|Architecture,"This work addresses Large language models are transitioning from generalpurpose knowledge engines to realworld problem solvers, yet optimizing them for deep search tasks remains challenging. It proposes To address these challenges, we propose REDSearcher, a unified framework that codesigns complex task synthesis, midtraining, and posttraining for scalable searchagent optimization. The evaluation reports that Specifically, REDSearcher introduces the following improvements: (1) We frame task synthesis as a dualconstrained optimization, where task difficulty is precisely governed by graph topology and evidence dispersion, allowing scalable generation of complex, highquality tasks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.14234v1
Reinforcement Learning via Self-Distillation,"Jonas Hübotter, Frederike Lübeck, Lejs Behric, Anton Baumann, Marco Bagatella, Daniel Marta, Ido Hakimi, Idan Shenfeld, Thomas Kleine Buening, Carlos Guestrin, Andreas Krause",2026,ArXiv,arXiv:2601.20802v2,Policy|Reward|CreditAssignment|ToolUse|Reasoning|Verifier|Architecture,"This work addresses Large language models are increasingly post-trained with reinforcement learning in verifiable domains such as code and math. It proposes Yet, current methods for reinforcement learning with verifiable rewards (RLVR) learn only from a scalar outcome reward per attempt, creating a severe credit-assignment bottleneck. The evaluation reports that Across scientific reasoning, tool use, and competitive programming on LiveCodeBench v6, SDPO improves sample efficiency and final accuracy over strong RLVR baselines. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.20802v2
Reinforcement World Model Learning for LLM-based Agents,"Xiao Yu, Baolin Peng, Ruize Xu, Yelong Shen, Pengcheng He, Suman Nath, Nikhil Singh, Jiangfeng Gao, Zhou Yu",2026,ArXiv,arXiv:2602.05842v2,Policy|Reward|WorldModel|Simulation|Architecture,"This work addresses Large language models (LLMs) have achieved strong performance in language-centric tasks. It proposes We propose Reinforcement World Model Learning (RWML), a self-supervised method that learns action-conditioned world models for LLM-based agents on textual states using sim-to-real gap rewards. The evaluation reports that We evaluate our method on ALFWorld and $τ^2$ Bench and observe significant gains over the base model, despite being entirely self-supervised. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05842v2
RISE: Self-Improving Robot Policy with Compositional World Model,"Jiazhi Yang, Kunyang Lin, Jinwei Li, Wencong Zhang, Tianwei Lin, Longyan Wu, Zhizhong Su, Hao Zhao, Ya-Qin Zhang, Li Chen, Ping Luo, Xiangyu Yue, Hongyang Li",2026,ArXiv,arXiv:2602.11075v1,Policy|WorldModel|Simulation|Architecture,"This work addresses Despite the sustained scaling on model capacity and data acquisition, Vision-Language-Action (VLA) models remain brittle in contact-rich and dynamic manipulation tasks, where minor execution deviations can compound into failures. It proposes To bridge this gap, we present RISE, a scalable framework of robotic reinforcement learning via imagination. The evaluation reports that At its core is a Compositional World Model that (i) predicts multi-view future via a controllable dynamics model, and (ii) evaluates imagined outcomes with a progress value model, producing informative advantages for the policy improvement. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-grounded world model in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11075v1
"RLAnything: Forge Environment, Policy, and Reward Model in Completely Dynamic RL System","Yinjie Wang, Tianbao Xie, Ke Shen, Mengdi Wang, Ling Yang",2026,ArXiv,arXiv:2602.02488v1,Policy|Reward|Verifier|Architecture,"This work addresses We propose RLAnything, a reinforcement learning framework that dynamically forges environment, policy, and reward models through closed-loop optimization, amplifying learning signals and strengthening the overall RL system for any LLM or agentic scenarios. It proposes We propose RLAnything, a reinforcement learning framework that dynamically forges environment, policy, and reward models through closed-loop optimization, amplifying learning signals and strengthening the overall RL system for any LLM or agentic scenarios. The evaluation reports that Specifically, the policy is trained with integrated feedback from step-wise and outcome signals, while the reward model is jointly optimized via consistency feedback, which in turn further improves policy training. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.02488v1
RLinf-USER: A Unified and Extensible System for Real-World Online Policy Learning in Embodied AI,"Hongzhi Zang, Shu'ang Yu, Hao Lin, Tianxing Zhou, Zefang Huang, Zhen Guo, Xin Xu, Jiakai Zhou, Yuze Sheng, Shizhe Zhang, Feng Gao, Wenhao Tang, Yufeng Yue, Quanlu Zhang, Xinlei Chen, Chao Yu, Yu Wang",2026,ArXiv,arXiv:2602.07837v3,Policy|Planning|Reward|Simulation|MultiAgent|Architecture,"This work addresses Online policy learning directly in the physical world is a promising yet challenging direction for embodied intelligence. It proposes These challenges suggest that real-world policy learning is not only an algorithmic issue but fundamentally a systems problem. The evaluation reports that On top of this infrastructure, USER organizes learning as a fully asynchronous framework with a persistent, cache-aware buffer, enabling efficient long-horizon experiments with robust crash recovery and reuse of historical data. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.07837v3
Robust Tool Use via Fission-GRPO: Learning to Recover from Execution Errors,"Zhiwei Zhang, Fei Zhao, Rui Wang, Zezhong Wang, Bin Liang, Jiakang Wang, Yao Hu, Shaosheng Cao, Kam-Fai Wong",2026,ArXiv,arXiv:2601.15625v1,Policy|Reward|CreditAssignment|Exploration|DatasetGeneration|ToolUse|Simulation|Architecture,"This work addresses Large language models (LLMs) can call tools effectively, yet they remain brittle in multi-turn execution: following a tool call error, smaller models often degenerate into repetitive invalid re-invocations, failing to interpret error feedback and self-correct. It proposes We identify a key limitation of current approaches: standard reinforcement learning (RL) treats errors as sparse negative rewards, providing no guidance on how to recover, while pre-collected synthetic error-correction datasets suffer from distribution mismatch with the model's on-policy error modes. The evaluation reports that On the BFCL v4 Multi-Turn, Fission-GRPO improves the error recovery rate of Qwen3-8B by 5.7% absolute, crucially, yielding a 4% overall accuracy gain (42.75% to 46.75%) over GRPO and outperforming specialized tool-use agents. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.15625v1
Rollout-Training Co-Design for Efficient LLM-Based Multi-Agent Reinforcement Learning,"Zhida Jiang, Zhaolong Xing, Jiawei Lu, Yipei Niu, Qingyuan Sang, Liangxu Zhang, Wenquan Dai, Junhua Shu, Jiaxing Wang, Qiangyu Pei, Qiong Chen, Xinyu Liu, Fangming Liu, Ai Han, Zhen Chen, Ke Zhang",2026,ArXiv,arXiv:2602.09578v1,Policy|CreditAssignment|Exploration|MultiAgent|Architecture,"This work addresses Despite algorithm-level innovations for multi-agent reinforcement learning (MARL), the underlying networked infrastructure for large-scale MARL training remains underexplored. It proposes Despite algorithm-level innovations for multi-agent reinforcement learning (MARL), the underlying networked infrastructure for large-scale MARL training remains underexplored. The evaluation reports that Empirical results on a large-scale production cluster demonstrate that FlexMARL achieves up to 7.3x speedup and improves hardware utilization by up to 5.6x compared to existing frameworks. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.09578v1
SeeUPO: Sequence-Level Agentic-RL with Convergence Guarantees,"Tianyi Hu, Qingxu Fu, Yanxi Chen, Zhaoyang Liu, Bolin Ding",2026,ArXiv,arXiv:2602.06554v1,Policy|CreditAssignment|Exploration|Verifier|MultiAgent|Architecture,"This work addresses Reinforcement learning (RL) has emerged as the predominant paradigm for training large language model (LLM)-based AI agents. It proposes However, existing backbone RL algorithms lack verified convergence guarantees in agentic scenarios, especially in multi-turn settings, which can lead to training instability and failure to converge to optimal policies. The evaluation reports that We find that REINFORCE with Group Relative Advantage Estimation (GRAE) can converge to the globally optimal under undiscounted conditions, but the combination of PPO & GRAE breaks PPO's original monotonic improvement property. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.06554v1
ShopSimulator: Evaluating and Exploring RL-Driven LLM Agent for Shopping Assistants,"Pei Wang, Yanan Wu, Xiaoshuai Song, Weixun Wang, Gengru Chen, Zhongwen Li, Kezhong Yan, Ken Deng, Qi Liu, Shuaibing Zhao, Shaopan Xiong, Xuepeng Liu, Xuefeng Chen, Wanxi Deng, Wenbo Su, Bo Zheng",2026,ArXiv,arXiv:2601.18225v1,Policy|Reward|CreditAssignment|Exploration|Simulation|Architecture,"This work addresses Large language model (LLM)-based agents are increasingly deployed in e-commerce shopping. It proposes In this paper, we introduce ShopSimulator, a large-scale and challenging Chinese shopping environment. The evaluation reports that However, existing research has yet to provide a unified simulation environment that consistently captures all of these aspects, and always focuses solely on evaluation benchmarks without training support. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2601.18225v1
SIGHT: Reinforcement Learning with Self-Evidence and Information-Gain Diverse Branching for Search Agent,"Wenlin Zhong, Jinluan Yang, Yiquan Wu, Yi Liu, Jianhang Yao, Kun Kuang",2026,ArXiv,arXiv:2602.11551v1,Policy|Reward|CreditAssignment|Exploration|Reasoning|Verifier|LanguageConditioning|Architecture,"This work addresses Reinforcement Learning (RL) has empowered Large Language Models (LLMs) to master autonomous search for complex question answering. It proposes To address these challenges, we propose SIGHT, a framework that enhances search-based reasoning through Self-Evidence Support (SES) and Information-Gain Driven Diverse Branching. The evaluation reports that However, particularly within multi-turn search scenarios, this interaction introduces a critical challenge: search results often suffer from high redundancy and low signal-to-noise ratios. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.11551v1
Socially-Weighted Alignment: A Game-Theoretic Framework for Multi-Agent LLM Systems,"Furkan Mumcu, Yasin Yilmaz",2026,ArXiv,arXiv:2602.14471v1,Policy|Simulation|Verifier|MultiAgent|Architecture|HybridRL,"This work addresses Deploying large language model (LLM) agents in shared environments introduces a fundamental tension between individual alignment and collective stability: locally rational decisions can impose negative externalities that degrade system-level performance. It proposes We propose Socially-Weighted Alignment (SWA), a game-theoretic framework that modifies inference-time decision making by interpolating between an agent's private objective and an estimate of group welfare via a social weight $λ\in[0,1]$. The evaluation reports that The reported evaluations compare against baselines and analyze gains in interactive decision performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.14471v1
SplitCom: Communication-efficient Split Federated Fine-tuning of LLMs via Temporal Compression,"Tao Li, Yulin Tang, Yiyang Song, Cong Wu, Xihui Liu, Pan Li, Xianhao Chen",2026,ArXiv,arXiv:2602.10564v2,Policy|Memory|Simulation|Architecture,"This work addresses Federated fine-tuning of on-device large language models (LLMs) mitigates privacy concerns by preventing raw data sharing. It proposes To overcome this, we propose SplitCom, a communication-efficient SFL framework for LLMs that exploits temporal redundancy in activations across consecutive training epochs. The evaluation reports that Extensive simulations and laboratory experiments demonstrate that SplitCom reduces uplink communication costs by up to 98.6\,\% in its standard configuration and total communication costs by up to 95.8\,\% in its U-shape variant without noticeably compromising model performance. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model policy component in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.10564v2
StagePilot: A Deep Reinforcement Learning Agent for Stage-Controlled Cybergrooming Simulation,"Heajun An, Qi Zhang, Minqian Liu, Xinyi Zhang, Sang Won Lee, Lifu Huang, Pamela J. Wisniewski, Jin-Hee Cho",2026,ArXiv,arXiv:2602.05060v1,Policy|Planning|Reward|OfflineRL|Simulation|Architecture|HybridRL,"This work addresses Cybergrooming is an evolving threat to youth, necessitating proactive educational interventions. It proposes We propose StagePilot, an offline RL-based dialogue agent that simulates the stage-wise progression of grooming behaviors for prevention training. The evaluation reports that We evaluate StagePilot through LLM-based simulations, measuring stage completion, dialogue efficiency, and emotional engagement. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.05060v1
STAR: Similarity-guided Teacher-Assisted Refinement for Super-Tiny Function Calling Models,"Jiliang Ni, Jiachen Pu, Zhongyi Yang, Jingfeng Luo, Conggang Hu",2026,ArXiv,arXiv:2602.03022v1,Policy|Reward|Exploration|Curriculum|Architecture,"This work addresses The proliferation of Large Language Models (LLMs) in function calling is pivotal for creating advanced AI agents, yet their large scale hinders widespread adoption, necessitating transferring their capabilities into smaller ones. It proposes We introduce STAR: Similarity-guided Teacher-Assisted Refinement, a novel holistic framework that effectively transfers LLMs' capabilities to super-tiny models. The evaluation reports that Extensive experiments on challenging and renowned benchmarks demonstrate the effectiveness of our method. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model reward/feedback module in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.03022v1
Steering LLMs via Scalable Interactive Oversight,"Enyu Zhou, Zhiheng Xi, Long Ma, Zhihao Zhang, Shihan Dou, Zhikai Lei, Guoteng Wang, Rui Zheng, Hang Yan, Tao Gui, Qi Zhang, Xuanjing Huang",2026,ArXiv,arXiv:2602.04210v2,Planning|Verifier|LanguageConditioning|Architecture|HybridRL,"This work addresses As Large Language Models increasingly automate complex, long-horizon tasks such as \emph{vibe coding}, a supervision gap has emerged. It proposes To tackle this, we propose Scalable Interactive Oversight, a framework that decomposes complex intent into a recursive tree of manageable decisions to amplify human supervision. The evaluation reports that Validated in web development task, our framework enables non-experts to produce expert-level Product Requirement Documents, achieving a 54\% improvement in alignment. The contribution targets RL-agent performance rather than only post-training an LLM.","The method places a language-model planner in the RL loop to improve learning, planning, exploration, or reward quality for agents.",LLM_for_RL,arxiv|targeted_search,https://arxiv.org/abs/2602.04210v2
